英文,詞性,中文,備註
signify,v.,象徵；預示；表示,常用於描述某事物代表更深層的意義。
strategically,adv.,策略性地；有戰略地,describes actions taken with a long-term plan in mind.
competence,n.,資格；能力；勝任,also: 財產、權限（法律語境）。
asset,n.,資產；有價值的事物或人,knowledge can be the most important asset of a firm.
expertise,n.,專業技術；專門知識,often built up through years of practice.
revalidate,v.,再確認；重新驗證,re- (再) + validate (確認)。
tacit,adj.,無言的；緘默的；默示的,hard to articulate; lives in people's heads.
explicit,adj.,明確的；清楚表達的,opposite of tacit; written down or documented.
accessible,adj.,可取得的；易接近的,access (取用) + -ible (能夠的)。
infra,adj.,基礎的；基層的（常作字首）,infra- 字首，如 infrastructure 基礎建設。
blanket,adj.,總括的；全面的；包裹的,a blanket proposal covers everything at once.
tacit knowledge,n. phr.,內隱知識,存在於人腦中、難以文件化的知識。
explicit knowledge,n. phr.,外顯知識,可以被寫下、整理、傳遞的知識。
share,v. / n.,分享、分擔；一股（股票的基本單位）,KM emphasizes sharing knowledge across teams.
emergence,n.,出現；興起,emerge (v.) 的名詞形式。
regarded,v., p.p.,被視為；被看作,often used as 'regarded as …'.
business sectors,n. phr.,商業部門；產業別,e.g., manufacturing, finance, services.
persistently,adv.,堅持地；持續地,describes continuous, repeated action.
ascertain,v.,確定；查明,formal synonym of 'find out'.
utilize,v.,利用；使用（較正式）,more formal than 'use'.
intellectual,adj.,智力的；知識的,intellectual property = 智慧財產。
assemble,v.,組合；聚集；裝配,to bring pieces together into a whole.
formal,adj.,正式的；正規的,opposite of informal.
systematic,adj.,系統的；有系統的,from 'system'; organized, methodical.
documented,adj.,有文件記錄的,documented knowledge = explicit knowledge.
manuals,n., pl.,手冊；操作指南,typical carriers of explicit knowledge.
inadequate,adj.,不足的；不充分的,in- (不) + adequate (足夠的)。
budget,n.,預算,KM initiatives need their own budget.
infrastructure,n.,基礎設施；基礎建設,IT infra-structure 支撐 KM 運作。
proposals,n., pl.,提案；建議書,propose (v.) + -al (n.)。
priorities,n., pl.,優先事項；優先順序,singular form: priority.
know-how,n.,技術知識；實務竅門,often used to describe tacit skills.
impractical,adj.,不切實際的；行不通的,im- (不) + practical (實用的)。
competitive advantage,n. phr.,競爭優勢,core concept in business strategy.
linchpin,n.,關鍵；樞紐人物／要素,出自參考文獻 Webb 1998。
implementation plan,n. phr.,實施計畫；執行計畫,translates strategy into concrete steps.
short-term needs,n. phr.,短期需求,often contrasted with long-term needs.
traditional economy,n. phr.,傳統經濟,based mainly on land, labor, and capital.
knowledge economy,n. phr.,知識經濟,value comes from knowledge and information.
point of responsibility,n. phr.,權責單位；負責單位／對象,the role or team accountable for KM.
