英文,詞性,中文,備註
grid,n,"網格,方格;格柵,格子","a pattern or structure made from horizontal and vertical lines crossing each other to form squares [cite: 2, 3]"
grid scale,n,電網規模,"technologies connected to the power grid that can store energy and then supply it back [cite: 5, 6]"
electric vehicle,n,電動車,"a vehicle powered by electricity instead of gasoline [cite: 7, 8]"
clean energy,n,清潔能源,energy that causes little or no pollution [cite: 11, 12]
battery,n,電池,a device that stores electricity and supplies power [cite: 15, 16]
solar,adj,太陽能的;與太陽有關的,relating to the sun or energy from the sun [cite: 18, 19]
tribute,n,"(尤指在正式場合表達敬意的)頌詞,禮物","something that you say or write that shows your respect and admiration [cite: 21, 23]"
inventor,n,發明家,"a person who creates a new device, idea, or process [cite: 25, 26]"
electrical,adj,電的;與電有關的,relating to electricity [cite: 28, 29]
CEO,n,執行長,"chief executive officer; the highest-ranking manager in a company [cite: 30, 32, 33]"
overarching,adj,"首要的;包羅萬象的,支配一切的",most important because of including or affecting all other areas [cite: 35, 36, 37]
expedite,v,"迅速完成;促進;加快",to make something happen more quickly [cite: 39, 40]
hydrocarbon,n,碳氫化合物,"a chemical compound made of hydrogen and carbon, often found in fuel [cite: 43, 44, 45]"
affordable,adj,負擔得起的,cheap enough for most people to buy [cite: 50, 51]
vertical integration,n,垂直整合,"a strategy that allows a company to streamline its operations by taking direct ownership [cite: 57, 58, 60]"
integrate,v,"(使)融入;(使)成為一體",to mix with and join society or a group of people [cite: 63, 64, 65]
architecture,n,架構,the basic design or structure of a system [cite: 68, 69, 70]
indicate,v,"標示;表明;顯示;暗示","show, point, or make clear in another way [cite: 72, 73, 75]"
software update,n,軟體更新,a new version of software that improves performance or fixes problems [cite: 79, 80]
functionality,n,功能,any or all of the operations performed by a piece of equipment or software [cite: 82, 83]
performance,n,"性能;表現",how well something works or operates [cite: 86, 87]
automaker,n,汽車製造商,a big company that makes cars [cite: 91, 92]
consumer,n,消費者,a person who buys goods or services [cite: 95, 96]
auto,n,汽車,a car [cite: 100, 101]
auto-,prefix,"自己的;本身的;自動的",of or by yourself or operating independently without needing help [cite: 109, 110, 111, 112]
dealership,n,(獲准出售特定產品的)經銷公司,"a business that has permission to sell products from a particular company, especially cars [cite: 116, 117, 118]"
conflict of interest,n,利益衝突,a situation in which someone cannot make a fair decision because they will be affected by the result [cite: 121, 127]
promote,v,"促進;促銷,推銷;推廣","to encourage people to like, buy, use, do, or support something [cite: 131, 132]"
proactive,adj,"主動的,積極的",taking action by causing change and not only reacting to change [cite: 135, 136]
diagnosis,n,診斷,a judgment about what a particular illness or problem is [cite: 139, 140]
remote diagnosis,n,遠端診斷,checking a problem from a distance by using digital technology [cite: 142, 143, 144]
component,n,"組成部分;成分;零件",a part that combines with other parts to form something bigger [cite: 146, 147]
proprietary,adj,"所有(人)的,業主的",relating to owning something or relating to or like an owner [cite: 152, 153, 155]
automative,adj,自動化的,relating to things that have been automated [cite: 157, 158, 159]
outsource,v,"外包,委外",pays to have part of its work done by another company [cite: 161, 162, 164]
assembly,n,"組合體;組成",the structure produced by a process of assembling [cite: 167, 168]
discreetly,adv,"審慎地,謹慎地,小心地",careful not to cause embarrassment or attract too much attention [cite: 173, 174, 177]
launch,v,"啟動,推出,發起",to begin something such as a plan or introduce something new [cite: 179, 180, 181]
charge,v,充電,to put electricity into an electrical device such as a battery [cite: 183, 184, 186]
charger,n,"充電器,充電機",a device that is used to recharge a battery [cite: 192, 193]
free of charge,phr,免費,costing no money [cite: 197, 198]
on-site,adv,"在工地的;在現場的",existing or happening in the place where people are working [cite: 199, 200]
certified,adj,"有合格證書的;獲得資格的",having a document that proves you finished a course of training [cite: 204, 205]
navigation,n,"領航;導航",the act of directing a ship or aircraft [cite: 220, 221]
cell,n,電池/細胞,a device for producing electrical energy from chemical energy [cite: 230, 231]
cylindrical,adj,柱形的,having the shape of a cylinder [cite: 233, 234]
lithium,n,鋰,"a chemical element that is a soft, silver-coloured metal [cite: 241, 242]"
ion,n,離子,an atom or small group of atoms that has an electrical charge [cite: 245, 246]
commodity,n,"商品,貨物",a substance or product that can be traded or bought [cite: 265, 268]
feature,n,"特色,特徵,特點",a typical quality or an important part of something [cite: 273, 274]
redundant,adj,"多餘的,不需要的;累贅的,囉唆的",unnecessary because it is more than is needed [cite: 277, 279]
intumescent,adj,"膨脹的,鼓起的",having the shape of a cylinder [cite: 284, 285]
floor,n,"(房間的)地板,地面",the flat surface of a room on which you walk [cite: 296, 297]
interior,n,內部,the inside part of something [cite: 299, 300]
truck,n,卡車/後車箱,large vehicle or storage space in a car [cite: 305, 306]
debris,n,"碎片,殘骸",broken or torn pieces of something larger [cite: 307, 308]
armor plate,n,裝甲板,a thick metal plate used for protection [cite: 312, 313]
counterpart,n,"作用相同者,相對應者",a person or thing that has the same purpose in a different place [cite: 315, 316]
source,n/v,來源/從(某地)獲取,to get something from a particular place [cite: 318, 320]
in-house,adv,"自行(設計、生產)",done within an organization by its employees [cite: 322, 323, 325]
mass-produce,v,大量生產,to make large numbers of a product by machine [cite: 328, 329]
autopilot,n,自動駕駛輔助系統,a system that can automatically control part of a vehicle movement [cite: 332, 333]
burdensome,adj,"麻煩的;沉重的,繁重的",causing difficulties or work [cite: 335, 336]
supervision,n,"監督,管理,指導",the act of watching a person or activity to ensure it is done correctly [cite: 338, 339]
autonomous,adj,"自治的,有自治權的",able to operate without being controlled directly by humans [cite: 341, 342]
sensor,n,感測器,"a device that detects changes such as heat, light, or movement [cite: 344, 345]"
self-driving,adj,自動駕駛的,able to drive itself with little or no human control [cite: 347, 348]
ship,v,"運輸,運送",to send something to a place far away [cite: 351, 353, 354]
ultrasonic,adj,(聲音)超聲的,sound that is too high for people to hear [cite: 356, 357]
recognize,v,"認出,認識;識別",to know someone because you have seen them before [cite: 361, 362, 363]
beta phase,n,"測試階段;Beta 階段",a testing stage before a product is fully finished [cite: 368, 369]
